cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1121,72000,2.5 years,Red,Local,173 kg,blf,0,blf / blfs / blfh
BLF1176,100000,3 years,Red,Local,246 kg,blf,0,blf / blfs / blfh
BLF887,122000,2.5 years,Red,Local,300 kg,blf,0,blf / blfs / blfh
BLF869,122000,3 years,Red,Local,295 kg,blf,0,blf / blfs / blfh
BLF1320,87000,2.5 years,Non Red,Pabna Breed,214 kg,blf,0,blf / blfs / blfh
BLF1351,79000,3 years,Red,Local,190 kg,blf,0,blf / blfs / blfh
BLF1064,117000,2.5 years,Red,Sahiwal,280 kg,blf,0,blf / blfs / blfh
BLF1291,97000,2.5 years,Red,Local,235 kg,blf,0,blf / blfs / blfh
BLF958,99000,2.5 years,Non Red,Local,243 kg,blf,0,blf / blfs / blfh
BLF1115,100000,2.5 years,Red,Local,242 kg,blf,0,blf / blfs / blfh
BLF1202,93000,3 years,Non Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1137,117000,3 years,Red,Local,282 kg,blf,0,blf / blfs / blfh
BLF996,98000,2.5 years,Non Red,Local,242 kg,blf,0,blf / blfs / blfh
BLF1355,94000,2.5 years,Red,Local,226 kg,blf,0,blf / blfs / blfh
BLF937,102000,3 years,Red,Local,250 kg,blf,0,blf / blfs / blfh
BLF1140,113000,2.5 years,Red,Local,273 kg,blf,0,blf / blfs / blfh
BLF1321,115000,3 years,Red,Local,278 kg,blf,0,blf / blfs / blfh
BLF1247,85000,2.5 years,Non Red,Local,209 kg,blf,0,blf / blfs / blfh
BLF883,125000,2.5 years,Red,Sahiwal,302 kg,blf,0,blf / blfs / blfh
BLF1030,99000,2.5 years,Non Red,Local,246 kg,blf,0,blf / blfs / blfh
BLF1096,112000,2.5 years,Red,Red Chittagong,266 kg,blf,0,blf / blfs / blfh
BLF1326,108000,2.5 years,Red,Sahiwal,260 kg,blf,0,blf / blfs / blfh
BLF1333,78000,3 years,Non Red,Local,192 kg,blf,0,blf / blfs / blfh
