player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Wise,401056507,A. Wise,10577,65.0,0,56.3,22.0,Sentry Tournament of Champions,2019,27.0,3,2,68.0,80.3,0,1,"Plantation - Lahaina, HI",2019-01-06,T27,-1,-0.56,-0.07,-1.41,0.22,-1.26,-1.83,27,0
Aaron Wise,401056511,A. Wise,10577,56.5,3,53.9,10.1,Desert Classic,2019,,0,0,59.5,64.0,0,0,"La Quinta CC - La Quinta, CA",2019-01-20,CUT,-8,0.67,-0.61,1.02,-1.03,-0.61,0.06,-,0
Aaron Wise,401056512,A. Wise,10577,28.5,0,25.6,9.6,Farmers Insurance Open,2019,,0,0,28.5,35.2,0,0,"Torrey Pines - La Jolla, CA",2019-02-27,CUT,-1,-0.51,-0.37,-1.56,0.06,-1.87,-2.37,-,0
Aaron Wise,401056515,A. Wise,10577,29.5,0,23.5,0.6,Genesis Open,2019,,0,0,29.5,24.1,0,0,"Riviera - Pacific Palisades, CA",2019-02-14,CUT,2,-0.5,0.34,0.08,-0.89,-0.47,-0.97,-,0
Aaron Wise,401056516,A. Wise,10577,76.5,3,66.4,19.4,WGC-Mexico Championship,2019,19.0,5,4,84.5,89.8,0,1,"Chapultepec - Mexico City, Mexico",2019-02-24,T19,-5,-0.76,0.18,0.65,1.04,1.87,1.11,19,0
Aaron Wise,401056521,A. Wise,10577,58.5,0,52.4,19.6,Arnold Palmer Invitational Pres. by Mastercard,2019,40.0,2,1,60.5,73.0,0,1,"Bay Hill - Orlando, FL",2019-03-10,T40,-1,1.07,0.17,-0.91,0.23,-0.5,0.57,40,0
Aaron Wise,401056522,A. Wise,10577,27.0,0,22.1,5.0,The Players Championship,2019,,0,0,27.0,27.1,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",2019-03-17,CUT,1,-1.38,0.8,-1.41,1.08,0.46,-0.92,-,0
Aaron Wise,401056527,A. Wise,10577,72.0,3,66.9,20.4,Masters Tournament,2019,17.0,5,4,80.0,91.3,1,1,"Augusta National - Augusta, GA",2019-04-14,,,,,,,,,17,0
Aaron Wise,401056544,A. Wise,10577,72.5,6,64.1,31.8,The Northern Trust,2019,43.0,1,0,79.5,95.9,0,1,"Liberty National - Jersey City, NJ",2019-08-11,T43,-4,-0.59,-0.56,0.93,0.56,0.93,0.34,43,0
Aaron Wise,401056545,A. Wise,10577,72.5,6,68.8,16.6,Wyndham Championship,2019,48.0,1,0,79.5,85.4,0,1,"Sedgefield - Greensboro, NC",2019-08-04,T48,-9,0.88,-0.19,-1.12,0.82,-0.49,0.4,48,0
Aaron Wise,401056547,A. Wise,10577,60.0,0,49.8,15.6,The Open,2019,41.0,1,0,61.0,65.4,1,1,"Royal Portrush - Portrush, Northern Ireland",2019-07-21,,,,,,,,,41,0
Aaron Wise,401056550,A. Wise,10577,70.0,0,63.9,35.0,Wells Fargo Championship,2019,18.0,5,4,75.0,102.9,0,1,"Quail Hollow - Charlotte, NC",2019-05-05,T18,-5,-0.19,0.42,0.49,1.12,2.02,1.84,18,0
Aaron Wise,401056551,A. Wise,10577,72.5,0,68.8,29.2,AT&T Byron Nelson,2019,43.0,1,0,73.5,98.0,0,1,"Trinity Forest - Dallas, TX",2019-05-12,T43,-9,-1.19,0.38,0.51,0.86,1.75,0.56,43,0
Aaron Wise,401056552,A. Wise,10577,42.5,0,35.4,5.6,PGA Championship,2019,41.0,1,0,43.5,41.0,1,1,"Bethpage - Farmingdale, NY",2019-05-19,T41,7,-0.26,0.24,0.16,0.74,1.14,0.88,41,0
