Date,Close,High,Low,Open,Volume
9/3/2015,44.00210953,44.86300265,43.83314988,44.83082205,7968900
9/4/2015,43.6722374,43.90556439,43.31822625,43.34236247,6994300
9/8/2015,44.42049026,44.6135892,43.87338019,44.50094943,8051700
9/9/2015,44.00210953,45.05610158,43.9055616,44.97564548,8406700
9/10/2015,44.54921341,44.80667657,43.71245969,43.72050407,8924800
9/11/2015,45.48252869,45.49057614,44.27566871,44.40440032,8363100
9/14/2015,45.28944397,45.78827869,45.09634498,45.49058735,5463900
9/15/2015,45.78827667,46.0296481,45.15266289,45.40208177,6741300
9/16/2015,46.06987381,46.14228554,45.22507231,45.72391005,6593400
9/17/2015,46.08595276,46.74570255,45.89285691,46.11813642,7525300
9/18/2015,45.73194504,46.36755866,45.2813829,45.45034562,16268000
9/21/2015,46.29513931,46.53651064,45.82848542,46.02158432,6220100
9/22/2015,45.95722198,46.06181736,45.6193027,45.73998684,8585100
9/23/2015,46.49629593,46.60893571,45.90091028,45.98941384,6829200
9/24/2015,46.96294022,47.09971927,45.99745169,46.16641441,10027300
9/25/2015,46.6572113,47.43764539,46.45606796,47.40546172,10627000
9/28/2015,44.87106323,47.01122856,44.75037598,46.6733061,11548100
9/29/2015,44.83081818,45.29746902,44.09865671,44.93541048,9392100
9/30/2015,45.73194504,45.78022054,44.74232028,45.3779339,9799600
10/1/2015,46.24687958,46.26297141,44.96760772,45.85264032,8497100
10/2/2015,46.72960663,46.73765101,45.49056333,45.85262184,9036800
10/5/2015,47.50201035,47.61465012,46.72157323,47.05949563,8199000
10/6/2015,47.22041702,47.58247571,46.84226957,47.32501244,5538000
10/7/2015,47.29281616,47.33304728,46.58479389,47.16408456,8138300
10/8/2015,47.83992767,48.041071,46.97903449,47.29281758,6834800
10/9/2015,48.33071899,48.36290266,47.71119717,47.84797623,7969900
10/12/2015,48.70886612,48.99046553,48.30657949,48.55599523,6430300
10/13/2015,48.40313721,48.87783565,48.29049742,48.54796067,6262800
10/14/2015,47.32500076,48.41117348,47.01121767,48.27439749,8365600
10/15/2015,48.02497101,48.13761383,46.72961079,47.42958859,9745900
10/16/2015,48.21808243,48.50772933,47.83993196,48.24221865,12860800
10/19/2015,49.05483627,49.31229949,48.16980378,48.37899456,8117200
10/20/2015,48.98242569,49.36862052,48.72496247,49.25598075,6089100
10/21/2015,48.70081711,49.17551544,48.40312587,49.13528739,6055300
10/22/2015,49.47322083,49.65022489,48.41118109,49.04679483,9182000
10/23/2015,50.37433624,50.52720407,49.5778073,49.97204958,8206000
10/26/2015,51.03409958,51.36397461,50.66399649,50.67204087,9751700
10/27/2015,50.45479202,51.01799396,50.03641353,50.98581029,8973200
10/28/2015,51.09846497,51.10651242,50.22147967,50.77663739,9627300
10/29/2015,50.28583527,51.09040863,49.65022157,51.02604129,14839100
10/30/2015,50.34215927,51.49269952,50.0927404,51.24328065,16822300
11/2/2015,50.07665253,50.76858311,49.9801015,50.69617138,8547200
11/3/2015,50.52719879,50.67202222,49.60194141,49.88354081,8847700
11/4/2015,49.85134888,50.7202893,49.35251441,50.7202893,9085100
11/5/2015,50.1088295,50.25365295,49.89159432,50.02032593,6145000
11/6/2015,49.85940933,50.0766445,49.56976245,49.9237736,6616300
11/9/2015,49.51233292,50.02085627,49.12488758,49.843276,6838300
11/10/2015,50.19034958,50.30335405,49.4073856,49.67375593,6689000
11/11/2015,49.94012833,50.50515384,49.89169959,50.4890099,4437300
11/12/2015,49.29439926,49.76256435,49.03610234,49.51233786,6793800
11/13/2015,48.22083282,49.5203873,48.11589878,49.14908602,8821600
11/16/2015,48.9795723,48.98764272,48.0271018,48.0271018,8096600
11/17/2015,48.87466049,49.68991255,48.78587036,49.19753314,6695300
11/18/2015,49.88362503,49.94012727,48.69707486,48.96344214,7215300
11/19/2015,49.60918808,49.98856295,49.55268583,49.88362888,5154400
11/20/2015,50.0369873,50.16613572,49.7060443,50.01276986,8302500
11/23/2015,50.56165314,51.00560063,50.12577607,50.15806395,8493500
11/24/2015,50.01276779,50.34371078,49.41545756,50.09348747,7908200
11/25/2015,50.19842529,50.44865171,50.0450625,50.08542081,4549900
11/27/2015,50.19034958,50.35178586,49.98855499,50.19842001,2447900
11/30/2015,49.55268478,50.27914662,49.39932199,50.12578075,9863800
12/1/2015,49.5365448,49.78677125,48.84237078,49.30246537,10910800
12/2/2015,49.41546249,49.81097818,49.33474281,49.74640551,6587500
12/3/2015,48.06747055,49.60111066,47.74460106,49.53653491,12056100
12/4/2015,49.84326553,49.94012608,48.10783076,48.31769887,9100600
12/7/2015,49.95627213,50.00470394,49.59304122,49.84326764,5967800
12/8/2015,50.17420578,50.3921443,49.65761213,49.79483097,6664900
12/9/2015,49.3831749,50.48093802,49.09259018,49.81097846,8541600
12/10/2015,49.94012833,50.15806687,49.24595439,49.34281802,6623900
12/11/2015,48.28540039,49.39123368,48.1078202,49.12486647,11489300
12/14/2015,48.3661232,48.54370341,47.30872158,48.46298681,13406100
12/15/2015,48.41455841,48.97958389,48.40648798,48.87464984,7842100
12/16/2015,48.71321869,48.83429669,48.03518866,48.68900432,9281800
12/17/2015,48.04325485,49.10065958,48.00289655,48.96343766,9079400
12/18/2015,47.31679916,48.02711705,47.03428794,47.78496414,18099500
12/21/2015,48.05940247,48.12397514,47.34908461,47.53473528,7187500
